Mean Accuracy,GWO,Variance Threshold,Select K Best,RFE,BPSO,SA
Gas,0.967,0.867,0.933,0.967,0.933,0.933
Rejafada,0.976,0.923,0.974,0.976,0.968,0.966
Gastrointestinal,0.992,0.811,0.885,0.844,0.877,0.983
SetaT2,0.614,0.592,0.614,0.547,0.525,0.547
SetaT1,0.669,0.608,0.655,0.654,0.606,0.686
Breast Cancer,0.944,0.638,0.946,0.956,0.968,0.88
Heart Disease,0.762,0.779,0.733,0.809,0.785,0.759
NBA,0.676,0.674,0.64,0.637,0.659,0.659
Codon,0.973,0.73,0.973,NA,0.97,0.961
Abalone,0.772,0.771,0.762,0.81,0.827,0.762
News Popularity,0.612,0.64,0.627,NA,0.619,0.591
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Mean F1-Score,GWO,Variance Threshold,Select K Best,RFE,BPSO,SA
Gas,0.96,0.865,0.92,0.96,0.92,0.92
Rejafada,0.975,0.924,0.973,0.975,0.967,0.965
Gastrointestinal,0.987,0.748,0.849,0.766,0.818,0.975
SetaT2,0.721,0.677,0.716,0.632,0.643,0.683
SetaT1,0.762,0.718,0.76,0.765,0.724,0.729
Breast Cancer,0.956,0.643,0.957,0.965,0.975,0.903
Heart Disease,0.784,0.805,0.756,0.82,0.803,0.776
NBA,0.755,0.746,0.716,0.719,0.733,0.741
Codon,0.928,0.404,0.939,NA,0.914,0.887
Abalone,0.779,0.752,0.767,0.813,0.827,0.769
News Popularity,0.648,0.679,0.657,NA,0.566,0.665
,,,,,,
,,,,,,
Mean Fitness,GWO,Variance Threshold,Select K Best,RFE,BPSO,SA
Gas,0.047,0.154,0.267,0.533,0.728,0.115
Rejafada,0.104,0.116,0.223,0.524,0.655,0.299
Gastrointestinal,0.028,0.286,0.316,0.655,0.75,0.091
SetaT2,0.458,0.992,0.588,0.953,1.225,0.5
SetaT1,0.378,0.916,0.547,0.846,1.132,0.643
Breast Cancer,0.153,0.692,0.254,0.544,0.832,0.153
Heart Disease,0.315,0.76,0.498,0.651,1.275,0.318
NBA,0.377,1.01,0.571,0.836,1.236,0.394
Codon,0.135,0.285,0.223,NA,0.814,0.165
Abalone,0.353,0.354,0.488,0.69,1.173,0.363
News Popularity,0.443,0.699,0.577,NA,1.127,0.49
